Characteristic,Games console and TV,Computer,Mobile phone,Handheld games console,Tablet,Portable media player,Smart TV***
2019,16.0,10.0,23.0,6.0,10.0,0.0,2.0
2018,17.0,12.0,22.0,6.0,11.0,0.0,2.0
2017,15.0,9.0,21.0,5.0,12.0,0.0,2.0
2016,15.0,11.0,19.0,5.0,12.0,0.0,1.0
2015,16.0,14.0,26.0,6.0,13.0,0.0,1.0
2014,17.0,16.0,26.0,7.0,15.0,0.0,1.0
2013,24.0,17.0,19.0,12.0,10.0,3.0,1.0
2012,25.0,15.0,13.0,12.0,5.0,3.0,0.0
2011,27.0,13.0,12.0,12.0,2.0,2.0,0.0
2010,24.0,11.0,9.0,13.0,1.0,2.0,0.0
2009,27.0,14.0,6.0,16.0,0.0,1.0,0.0
